#SampleID	Metaphlan2_Analysis
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Silvibacterium	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Silvibacterium|s__Silvibacterium	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Terracidiphilus	2
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Terracidiphilus|s__Terracidiphilus	2
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Tous-C9LFEB	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Tous-C9LFEB|s__Tous-C9LFEB	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Gp1-AA117	3
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Gp1-AA117|g__Gp1-AA17	3
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Gp1-AA117|g__Gp1-AA17|s__Gp1-AA17	3
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Koribacteraceae	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Koribacteraceae|g__Koribacteraceae	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Koribacteraceae|g__Koribacteraceae|s__Koribacteraceae	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1	37
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__40CM-3-55-5	2
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__40CM-3-55-5|s__40CM-3-55-5	2
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__Bog-209	3
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__Bog-209|s__Bog-209	3
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__Gp1-AA124	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__Gp1-AA124|s__Gp1-AA124	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__Gp1-AA145	8
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__Gp1-AA145|s__Gp1-AA145	8
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__JABCYV01	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__JABCYV01|s__JABCYV01	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__PALSA-270	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__PALSA-270|s__PALSA-270	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__QIAJ01	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__QIAJ01|s__QIAJ01	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__SbA1	2
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__SbA1|s__SbA1	2
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__Sulfotelmatobacter	18
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__Sulfotelmatobacter|s__Sulfotelmatobacter	17
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__SbA1|g__Sulfotelmatobacter|s__Sulfotelmatobacter sp003166855	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidoferrales	27
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidoferrales|f__UBA7541	27
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidoferrales|f__UBA7541|g__Acidoferrum	15
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidoferrales|f__UBA7541|g__Acidoferrum|s__Acidoferrum	15
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidoferrales|f__UBA7541|g__Palsa-295	8
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidoferrales|f__UBA7541|g__Palsa-295|s__Palsa-295	8
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidoferrales|f__UBA7541|g__Palsa-360	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidoferrales|f__UBA7541|g__Palsa-360|s__Palsa-360	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidoferrales|f__UBA7541|g__UBA7541	3
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidoferrales|f__UBA7541|g__UBA7541|s__UBA7541	3
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales	8
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae	8
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae|g__Bog-105	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae|g__Bog-105|s__Bog-105	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae|g__Bryobacteraceae	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae|g__Bryobacteraceae|s__Bryobacteraceae	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae|g__CAIVVT01	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae|g__CAIVVT01|s__CAIVVT01	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae|g__Palsa-187	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae|g__Palsa-187|s__Palsa-187	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae|g__Palsa-89	2
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae|g__Palsa-89|s__Palsa-89	2
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae|g__Solibacter	2
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae|g__Solibacter|s__Solibacter	2
d__Bacteria|p__Acidobacteriota|c__Blastocatellia	16
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales	15
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae	15
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__JACMLC01	1
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__JACMLC01|s__JACMLC01	1
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__PSRF01	5
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__PSRF01|s__PSRF01	5
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__Pyrinomonadaceae	1
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__Pyrinomonadaceae|s__Pyrinomonadaceae	1
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__UBA11740	8
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__UBA11740|s__UBA11740	8
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__UBA7656	1
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__UBA7656|f__UBA7656	1
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__UBA7656|f__UBA7656|g__JADGNW01	1
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__UBA7656|f__UBA7656|g__JADGNW01|s__JADGNW01	1
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia	9
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Gp7-AA8	4
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Gp7-AA8|f__Gp7-AA8	4
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Gp7-AA8|f__Gp7-AA8|g__Gp7-AA8	1
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Gp7-AA8|f__Gp7-AA8|g__Gp7-AA8|s__Gp7-AA8	1
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Gp7-AA8|f__Gp7-AA8|g__JADGNZ01	1
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Gp7-AA8|f__Gp7-AA8|g__JADGNZ01|s__JADGNZ01	1
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Gp7-AA8|f__Gp7-AA8|g__QHVT01	2
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Gp7-AA8|f__Gp7-AA8|g__QHVT01|s__QHVT01	2
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5066	1
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5066|f__Gp7-AA6	1
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5066|f__Gp7-AA6|g__Gp7-AA6	1
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5066|f__Gp7-AA6|g__Gp7-AA6|s__Gp7-AA6	1
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5704	4
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5704|f__UBA5704	4
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5704|f__UBA5704|g__JAGPDF01	1
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5704|f__UBA5704|g__JAGPDF01|s__JAGPDF01	1
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5704|f__UBA5704|g__UBA5704	3
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5704|f__UBA5704|g__UBA5704|s__UBA5704	3
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria	13
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Fen-336	2
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Fen-336|f__Fen-336	2
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Fen-336|f__Fen-336|g__Fen-336	2
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Fen-336|f__Fen-336|g__Fen-336|s__Fen-336	2
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales	11
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__2-12-FULL-66-21	3
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__2-12-FULL-66-21|g__2-12-FULL-66-21	3
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__2-12-FULL-66-21|g__2-12-FULL-66-21|s__2-12-FULL-66-21	3
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__SCN-69-37	1
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__SCN-69-37|g__SCN-69-37	1
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__SCN-69-37|g__SCN-69-37|s__SCN-69-37	1
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__UBA2999	6
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__UBA2999|g__CADEFD01	1
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__UBA2999|g__CADEFD01|s__CADEFD01	1
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__UBA2999|g__Gp6-AA40	2
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__UBA2999|g__Gp6-AA40|s__Gp6-AA40	2
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__UBA2999|g__JADGOC01	1
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__UBA2999|g__JADGOC01|s__JADGOC01	1
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__UBA2999|g__UBA2999	2
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__UBA2999|g__UBA2999|s__UBA2999	2
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__Vicinamibacteraceae	1
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__Vicinamibacteraceae|g__Vicinamibacteraceae	1
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__Vicinamibacteraceae|g__Vicinamibacteraceae|s__Vicinamibacteraceae	1
d__Bacteria|p__Actinobacteriota	253
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia	28
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales	19
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__Acidimicrobiales	4
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__Acidimicrobiales|g__Acidimicrobiales	4
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__Acidimicrobiales|g__Acidimicrobiales|s__Acidimicrobiales	4
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__Bog-793	3
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__Bog-793|g__Fen-455	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__Bog-793|g__Fen-455|s__Fen-455 sp003139355	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__Bog-793|g__Palsa-601	2
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__Bog-793|g__Palsa-601|s__Palsa-601	2
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__JACDCH01	2
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__JACDCH01|g__JACDCH01	2
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__JACDCH01|g__JACDCH01|s__JACDCH01	2
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__Palsa-688	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__Palsa-688|g__PALSA-693	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__Palsa-688|g__PALSA-693|s__PALSA-693	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__RAAP-2	6
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__RAAP-2|g__Bog-473	2
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__RAAP-2|g__Bog-473|s__Bog-473	2
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__RAAP-2|g__Bog-756	3
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__RAAP-2|g__Bog-756|s__Bog-756	3
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__RAAP-2|g__Palsa-461	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__RAAP-2|g__Palsa-461|s__Palsa-461	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__UBA8139	2
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__UBA8139|g__JACPNV01	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__UBA8139|g__JACPNV01|s__JACPNV01	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__UBA8139|g__UBA8139	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__UBA8139|g__UBA8139|s__UBA8139	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__UBA8190	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__UBA8190|g__UBA8190	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__UBA8190|g__UBA8190|s__UBA8190	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__IMCC26256	6
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__IMCC26256|f__IMCC26256	2
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__IMCC26256|f__IMCC26256|g__IMCC26256	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__IMCC26256|f__IMCC26256|g__IMCC26256|s__IMCC26256	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__IMCC26256|f__IMCC26256|g__JAENVU01	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__IMCC26256|f__IMCC26256|g__JAENVU01|s__JAENVU01	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__IMCC26256|f__PALSA-555	3
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__IMCC26256|f__PALSA-555|g__JACDBD01	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__IMCC26256|f__PALSA-555|g__JACDBD01|s__JACDBD01	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__IMCC26256|f__PALSA-555|g__PALSA-555	2
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__IMCC26256|f__PALSA-555|g__PALSA-555|s__PALSA-555	2
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__IMCC26256|f__PALSA-610	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__IMCC26256|f__PALSA-610|g__PALSA-610	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__IMCC26256|f__PALSA-610|g__PALSA-610|s__PALSA-610	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794	3
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794|f__ZC4RG35	3
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794|f__ZC4RG35|g__SZUA-217	3
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__UBA5794|f__ZC4RG35|g__SZUA-217|s__SZUA-217	3
d__Bacteria|p__Actinobacteriota|c__Actinobacteriota	4
d__Bacteria|p__Actinobacteriota|c__Actinobacteriota|o__Actinobacteriota	4
d__Bacteria|p__Actinobacteriota|c__Actinobacteriota|o__Actinobacteriota|f__Actinobacteriota	4
d__Bacteria|p__Actinobacteriota|c__Actinobacteriota|o__Actinobacteriota|f__Actinobacteriota|g__Actinobacteriota	4
d__Bacteria|p__Actinobacteriota|c__Actinobacteriota|o__Actinobacteriota|f__Actinobacteriota|g__Actinobacteriota|s__Actinobacteriota	4
d__Bacteria|p__Actinobacteriota|c__Actinomycetia	68
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Acidothermales	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Acidothermales|f__Acidothermaceae	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Acidothermales|f__Acidothermaceae|g__PALSA-607	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Acidothermales|f__Acidothermaceae|g__PALSA-607|s__PALSA-607	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales	8
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Dermatophilaceae	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Dermatophilaceae|g__UBA4719	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Dermatophilaceae|g__UBA4719|s__UBA4719	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Kineosporiaceae	2
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Kineosporiaceae|g__Kineosporiaceae	2
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Kineosporiaceae|g__Kineosporiaceae|s__Kineosporiaceae	2
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Microbacteriaceae	5
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Microbacteriaceae|g__Galbitalea	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Microbacteriaceae|g__Galbitalea|s__Galbitalea	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Microbacteriaceae|g__Lacisediminihabitans	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Microbacteriaceae|g__Lacisediminihabitans|s__Lacisediminihabitans	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Microbacteriaceae|g__Leifsonia_B	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Microbacteriaceae|g__Leifsonia_B|s__Leifsonia_B	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Microbacteriaceae|g__Microbacterium	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Microbacteriaceae|g__Microbacterium|s__Microbacterium	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Microbacteriaceae|g__Rhodoglobus	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Microbacteriaceae|g__Rhodoglobus|s__Rhodoglobus	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetia	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetia|f__Actinomycetia	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetia|f__Actinomycetia|g__Actinomycetia	1
